timestamp,reference_valid,klt_r1_valid,klt_r2_valid,klt_r3_valid,splg_r1_valid,splg_r2_valid,splg_r3_valid,xfeat_seed_r1_valid,xfeat_seed_r2_valid,xfeat_seed_r3_valid,common_valid,segment_id
1725639546.7344961,1,0,0,0,0,0,0,0,0,0,0,-1
1725639546.834496,1,0,0,0,0,0,0,0,0,0,0,-1
1725639546.9344962,1,0,0,0,0,0,0,0,0,0,0,-1
1725639547.0344961,1,0,0,0,0,0,0,0,0,0,0,-1
1725639547.1344962,1,0,0,0,0,0,0,0,0,0,0,-1
1725639547.2344961,1,0,0,0,0,0,0,0,0,0,0,-1
1725639547.334496,1,0,0,0,0,0,0,0,0,0,0,-1
1725639547.4344962,1,0,0,0,0,0,0,0,0,0,0,-1
1725639547.5344961,1,0,0,0,0,0,0,0,0,0,0,-1
1725639547.6344962,1,0,0,0,0,0,0,0,0,0,0,-1
1725639547.7344961,1,0,0,0,0,0,0,0,0,0,0,-1
1725639547.834496,1,0,0,0,0,0,0,0,0,0,0,-1
1725639547.9344962,1,0,0,0,0,0,0,0,0,0,0,-1
1725639548.0344961,1,0,0,0,0,0,0,0,0,0,0,-1
1725639548.1344962,1,0,0,0,0,0,0,0,0,0,0,-1
1725639548.2344961,1,0,0,0,0,0,0,0,0,0,0,-1
1725639548.334496,1,0,0,0,0,0,0,0,0,0,0,-1
1725639548.4344962,1,0,0,0,0,0,0,0,0,0,0,-1
1725639548.5344961,1,0,0,0,0,0,0,0,0,0,0,-1
1725639548.6344962,1,0,0,0,0,0,0,0,0,0,0,-1
1725639548.7344961,1,0,0,0,0,0,0,0,0,0,0,-1
1725639548.834496,1,0,0,0,0,0,0,0,0,0,0,-1
1725639548.9344962,1,0,0,0,0,0,0,0,0,0,0,-1
1725639549.0344961,1,0,0,0,0,0,0,0,0,0,0,-1
1725639549.1344962,1,0,0,0,0,0,0,0,0,0,0,-1
1725639549.2344961,1,0,0,0,0,0,0,0,0,0,0,-1
1725639549.334496,1,0,0,0,0,0,0,0,0,0,0,-1
1725639549.4344962,1,0,0,0,0,0,0,0,0,0,0,-1
1725639549.5344961,1,0,0,0,0,0,0,0,0,0,0,-1
1725639549.6344962,1,0,0,0,0,0,0,0,0,0,0,-1
1725639549.7344961,1,0,0,0,0,0,0,0,0,0,0,-1
1725639549.834496,1,0,0,0,0,0,0,0,0,0,0,-1
