dataset,window,profile,evaluator,arm,replay,scientific_unit,technical_repeat,ape_rmse_m,rpe_rmse_m,coverage,init_success,solver_failures,rpe_pairs,ape_valid,rpe_valid,validity_reason,source_artifact
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,g0_common_support,nativeq_drop_r1,1,NTNU_fjord1_s83_d30_event,True,32.67620076780642,5.113237771380674,0.893687707641196,,,259,True,True,common_poses=269;span_s=26.800000190734863;rpe_pairs=259,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,g0_common_support,nativeq_drop_r2,2,NTNU_fjord1_s83_d30_event,True,66.59921319468502,12.101863279076104,0.893687707641196,,,259,True,True,common_poses=269;span_s=26.800000190734863;rpe_pairs=259,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,g0_common_support,nativeq_drop_r3,3,NTNU_fjord1_s83_d30_event,True,32.67620076780642,5.113237771380674,0.893687707641196,,,259,True,True,common_poses=269;span_s=26.800000190734863;rpe_pairs=259,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,g0_common_support,nativeq_gftt_r1,1,NTNU_fjord1_s83_d30_event,True,0.2213594383500303,0.09158222196479138,0.893687707641196,,,259,True,True,common_poses=269;span_s=26.800000190734863;rpe_pairs=259,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,g0_common_support,nativeq_gftt_r2,2,NTNU_fjord1_s83_d30_event,True,0.22135942788073285,0.09158222064347205,0.893687707641196,,,259,True,True,common_poses=269;span_s=26.800000190734863;rpe_pairs=259,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,g0_common_support,nativeq_gftt_r3,3,NTNU_fjord1_s83_d30_event,True,0.22135942788073285,0.09158222064347205,0.893687707641196,,,259,True,True,common_poses=269;span_s=26.800000190734863;rpe_pairs=259,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,g0_common_support,nativeq_klt_r1,1,NTNU_fjord1_s83_d30_event,True,0.0867519247825314,0.06572772266469162,0.893687707641196,,,259,True,True,common_poses=269;span_s=26.800000190734863;rpe_pairs=259,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,g0_common_support,nativeq_klt_r2,2,NTNU_fjord1_s83_d30_event,True,0.0867519247825314,0.06572772266469162,0.893687707641196,,,259,True,True,common_poses=269;span_s=26.800000190734863;rpe_pairs=259,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,g0_common_support,nativeq_klt_r3,3,NTNU_fjord1_s83_d30_event,True,0.0867519247825314,0.06572772266469162,0.893687707641196,,,259,True,True,common_poses=269;span_s=26.800000190734863;rpe_pairs=259,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,g0_common_support,nativeq_learned_r1,1,NTNU_fjord1_s83_d30_event,True,0.09559420387038439,0.0381353302751758,0.893687707641196,,,259,True,True,common_poses=269;span_s=26.800000190734863;rpe_pairs=259,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
