role,sequence,arm,status,source,group,observations,valid_labels,valid_tracks,epe_mean_px,epe_median_px,epe_p90_px,epe_p95_px,epe_sum_px,correction_all_mean_px,correction_all_median_px,correction_all_p90_px,correction_all_p95_px,correction_all_sum_px,over_1px_ratio,over_2px_ratio,zero_correction_ratio_all,temporal_pairs,temporal_mean_px,temporal_median_px,temporal_p90_px,temporal_p95_px,temporal_sum_px
test,endofworld/Easy/P000,P,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/evaluation/P_observations.npz,temporal_birth_next,,,,,,,,,,,,,,,,,20588,0.572475254535675,0.20272161066532135,0.583745265007019,0.8469180583953856,11786.120750247035
test,endofworld/Easy/P000,P,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/evaluation/P_observations.npz,temporal_nonbirth_nonbirth,,,,,,,,,,,,,,,,,62142,0.3184630274772644,0.1854741871356964,0.5220795035362245,0.7134744971990584,19789.932020511653
test,endofworld/Easy/P000,T,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/evaluation/T_observations.npz,all,209862,166791,84061,0.6203858256340027,0.30392885208129883,1.1140674352645874,1.6312223672866821,103474.77781452538,0.3580746054649353,0.2279166504740715,0.8880741596221923,1.2657796382904039,75146.2398716025,0.11897524446762715,0.03438434927544052,0.1696257540669583,,,,,,
test,endofworld/Easy/P000,T,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/evaluation/T_observations.npz,birth,111694,84061,84061,0.24625420570373535,0.19661574065685272,0.5267666578292847,0.6729283928871155,20700.377097206743,0.22582793235778809,0.1742318794131279,0.5080544054508209,0.6562528580427166,25223.625558402506,0.012276798991208765,0.00035688369160490595,0.190645871756764,,,,,,
test,endofworld/Easy/P000,T,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/evaluation/T_observations.npz,nonbirth,98168,82730,20588,1.000536561012268,0.5018645524978638,1.6293105363845837,2.433936810493471,82774.40071731864,0.5085426568984985,0.34223994612693787,1.2769546747207645,1.6528792202472684,49922.6143132,0.22739030581409403,0.06895926507917322,0.14570939613723413,,,,,,
test,endofworld/Easy/P000,T,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/evaluation/T_observations.npz,block_0:100,35000,18385,9849,0.6404651999473572,0.33412250876426697,1.381918668746949,2.017521381378173,11774.952645616839,0.3985620439052582,0.23814798146486282,1.0633961915969856,1.4518188834190358,13949.67172283621,0.165787326624966,0.050856676638564045,0.161,,,,,,
test,endofworld/Easy/P000,T,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/evaluation/T_observations.npz,block_100:200,34862,23694,17563,0.49871304631233215,0.24249239265918732,0.7525022387504579,1.1153861224651334,11816.507223408436,0.2942222058773041,0.19308748841285706,0.6513672411441804,0.9516643106937408,10257.174789423472,0.06170338482316198,0.020764750569764498,0.14973323389363777,,,,,,
test,endofworld/Easy/P000,T,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/evaluation/T_observations.npz,block_200:300,35000,30163,16439,0.6054649949073792,0.305728018283844,1.1067478418350218,1.6458534479141234,18262.640671311092,0.3446638882160187,0.23453272879123688,0.8205092489719391,1.1578143298625945,12063.236476719845,0.11746179093591486,0.03597122302158273,0.17365714285714287,,,,,,
test,endofworld/Easy/P000,T,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/evaluation/T_observations.npz,block_300:400,35000,31307,18832,0.6303822994232178,0.279717355966568,0.9008878588676458,1.3212850809097254,19735.379924773413,0.33238765597343445,0.23395206034183502,0.7504880726337435,1.056027042865753,11633.568924170046,0.08304851950043121,0.026990768837640143,0.1362,,,,,,
test,endofworld/Easy/P000,T,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/evaluation/T_observations.npz,block_400:500,35000,31752,8819,0.8482480645179749,0.42034029960632324,1.5062736034393314,2.189374160766598,26933.57279816398,0.4266016483306885,0.2762708514928818,1.113868427276612,1.454306340217589,14931.056490443007,0.19891660367850844,0.057413706223230034,0.21662857142857142,,,,,,
test,endofworld/Easy/P000,T,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/evaluation/T_observations.npz,block_500:600,35000,31490,12954,0.4748086631298065,0.2829619497060776,0.9591357946395881,1.3235919117927548,14951.724551251624,0.35175803303718567,0.21504022181034088,0.8711862564086914,1.2896209478378295,12311.531468009925,0.09129882502381709,0.01762464274372817,0.18045714285714284,,,,,,
test,endofworld/Easy/P000,T,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/evaluation/T_observations.npz,temporal_all,,,,,,,,,,,,,,,,,82730,0.3783690929412842,0.187479667365551,0.5316542863845826,0.7326374173164377,31302.474493698217
test,endofworld/Easy/P000,T,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/evaluation/T_observations.npz,temporal_birth_next,,,,,,,,,,,,,,,,,20588,0.574409008026123,0.20751354098320007,0.58537158370018,0.8490686863660805,11825.932705474319
test,endofworld/Easy/P000,T,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/evaluation/T_observations.npz,temporal_nonbirth_nonbirth,,,,,,,,,,,,,,,,,62142,0.3134199380874634,0.18178974837064743,0.5157311141490939,0.7024419665336602,19476.541788223898
test,endofworld/Easy/P000,P-anchor,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/evaluation/P_observations.npz,all,209862,166791,84061,0.5024479031562805,0.0,1.121445655822754,1.669516146183014,83803.79343114619,0.2540019154548645,0.0,0.9059815764427182,1.3426836609840387,53305.34611133579,0.11747036710613883,0.03557146368808869,0.6003850149145629,,,,,,
