run_slug,source,scope,reason,count
h07_0_1000,classical_gftt,eligibility_observations,geometry,32
h07_0_1000,classical_gftt,eligibility_observations,source_history_missing,9618
h07_0_1000,classical_gftt,eligibility_observations,duplicate_KLT_or_prior_candidate,119942
h07_0_1000,classical_gftt,eligibility_observations,quality,4
h07_0_1000,classical_gftt,geometry_frame_status,no_sidecar,45
h07_0_1000,classical_gftt,geometry_frame_status,accepted_feh_residual_stable,455
h07_0_1000,classical_gftt,generation_or_tracking_cumulative,backward_fail,73
h07_0_1000,classical_gftt,generation_or_tracking_cumulative,border_fail,1492
h07_0_1000,classical_gftt,generation_or_tracking_cumulative,fb_fail,4247
h07_0_1000,classical_gftt,generation_or_tracking_cumulative,forward_fail,288
h07_0_1000,classical_gftt,generation_or_tracking_cumulative,generator_seed_limit,8676
h07_0_1000,classical_gftt,generation_or_tracking_cumulative,ncc_fail,16687
h07_0_1000,classical_gftt,generation_or_tracking_cumulative,seed_boundary,9871
h07_0_1000,classical_gftt,generation_or_tracking_cumulative,seed_duplicate_private,439810
h07_0_1000,L6,publication_admit,valid,504
h07_0_1000,L6,publication_continue,valid,2297
h07_0_1000,L6,publication_reject,L6_quantity,17545
h07_0_1000,L6,publication_terminate,source_missing_or_invalid,498
h07_0_1000,L-all,publication_admit,valid,3563
h07_0_1000,L-all,publication_continue,valid,16783
h07_0_1000,L-all,publication_terminate,source_missing_or_invalid,3495
h07_0_1000,C-all,publication_admit,valid,1299
h07_0_1000,C-all,publication_continue,valid,5123
h07_0_1000,C-all,publication_terminate,source_missing_or_invalid,1268
