stage,sequence,case,base_offset,arm,input_points,visible_input_points,invisible_input_points,accepted,correct,wrong_accepted,invisible_accepted,accepted_error_median_px,accepted_error_p95_px,wall_s,xfeat_matching_s,chains_ge4_outputs,continuation_outputs_median,continuation_outputs_max
natural_stream,A02,real_adjacent,,L,485,,,3,Unknown,Unknown,,,,,,1,3.0,4
controlled,A08,small,0,B,350,347,3,344,344,0,0,0.04064489601186547,0.13158322348092727,0.03768759701051749,0.0,,,
controlled,A08,small,0,C,6,3,3,1,1,0,0,0.07226755146611605,0.07226755146611605,0.004896314989309758,0.0,,,
controlled,A08,small,0,L,6,3,3,0,0,0,0,,,0.9698424829985015,0.9674489309836645,,,
controlled,A08,large,0,B,350,319,31,6,4,2,0,0.15448507404402795,149.87248189425236,0.05076234700391069,0.0,,,
controlled,A08,large,0,C,344,313,31,0,0,0,0,,,0.0005408750148490071,0.0,,,
controlled,A08,large,0,L,344,313,31,0,0,0,0,,,0.02320280301501043,0.022676199005218223,,,
controlled,A08,illumination_blur,0,B,350,340,10,308,300,8,0,0.2715622926875848,1.531847746852048,0.041472341981716454,0.0,,,
controlled,A08,illumination_blur,0,C,42,32,10,10,9,1,0,0.28359143553761135,2.1152423260603825,0.009436866996111348,0.0,,,
controlled,A08,illumination_blur,0,L,42,32,10,2,2,0,0,0.55158259748892,0.7927972687659888,0.043626212020171806,0.0226187480147928,,,
controlled,A08,outside_occluded,0,B,350,244,106,48,47,1,0,0.2250339234747199,0.8731119412403686,0.05006879201391712,0.0,,,
controlled,A08,outside_occluded,0,C,302,196,106,184,184,0,0,0.24658985336628428,0.8247986520768176,0.05849041900364682,0.0,,,
controlled,A08,outside_occluded,0,L,302,196,106,63,63,0,0,0.2270384277924127,0.9422537753950525,0.13431151799159124,0.022791809984482825,,,
controlled,A08,small,50,B,350,348,2,344,344,0,0,0.040174612496292804,0.13536826563565008,0.04090200801147148,0.0,,,
controlled,A08,small,50,C,6,4,2,0,0,0,0,,,0.003030687978025526,0.0,,,
controlled,A08,small,50,L,6,4,2,0,0,0,0,,,0.024874888971680775,0.02265530897420831,,,
controlled,A08,large,50,B,350,317,33,10,6,4,0,0.3606662863844523,172.41876497115985,0.04980820001219399,0.0,,,
controlled,A08,large,50,C,340,307,33,18,18,0,0,0.24198948617019145,0.5723523840502275,0.09955553902545944,0.0,,,
controlled,A08,large,50,L,340,307,33,5,5,0,0,0.3313768337867151,0.4450433516424931,0.16533812499255873,0.02297222099150531,,,
controlled,A08,illumination_blur,50,B,350,342,8,318,318,0,0,0.31121676451947944,1.1021886704419939,0.03879843800677918,0.0,,,
controlled,A08,illumination_blur,50,C,32,24,8,6,5,1,0,1.1127099907053877,2.0093151064971697,0.008064603985985741,0.0,,,
controlled,A08,illumination_blur,50,L,32,24,8,1,1,0,0,0.2971469578442595,0.2971469578442595,0.03612579399487004,0.022601198987104,,,
controlled,A08,outside_occluded,50,B,350,235,115,67,64,3,0,0.26418674004357706,1.4493402753352076,0.048696478974306956,0.0,,,
controlled,A08,outside_occluded,50,C,283,168,115,128,128,0,0,0.19989983460788152,0.8133933018618679,0.062170524994144216,0.0,,,
controlled,A08,outside_occluded,50,L,283,168,115,34,34,0,0,0.18571699868278213,0.5009830675955054,0.11775427899556234,0.02267157001188025,,,
controlled,A08,small,100,B,350,346,4,341,341,0,0,0.04136177009061653,0.11781546350251706,0.04519152801367454,0.0,,,
controlled,A08,small,100,C,9,5,4,0,0,0,0,,,0.003329409984871745,0.0,,,
controlled,A08,small,100,L,9,5,4,0,0,0,0,,,0.033205427025677636,0.029974577017128468,,,
controlled,A08,large,100,B,350,326,24,16,10,6,0,0.8978177481342513,154.4172502809888,0.048924113012617454,0.0,,,
controlled,A08,large,100,C,334,310,24,1,1,0,0,0.30327709847622775,0.30327709847622775,0.09730563100310974,0.0,,,
controlled,A08,large,100,L,334,310,24,0,0,0,0,,,0.11392285401234403,0.02932294100173749,,,
controlled,A08,illumination_blur,100,B,350,346,4,310,307,3,0,0.3668842116022034,1.3717078401672467,0.04127308199531399,0.0,,,
controlled,A08,illumination_blur,100,C,40,36,4,13,11,2,0,0.3429110526882455,2.9770483368578584,0.011503046989673749,0.0,,,
controlled,A08,illumination_blur,100,L,40,36,4,2,2,0,0,0.728942345934706,1.2141500402967216,0.049822651024442166,0.02919116002158262,,,
controlled,A08,outside_occluded,100,B,350,235,115,97,95,2,2,0.2444703897691066,0.8211944371080278,0.045791065000230446,0.0,,,
controlled,A08,outside_occluded,100,C,253,140,113,122,121,1,1,0.2055232478864181,0.6788301009136549,0.05770536497584544,0.0,,,
controlled,A08,outside_occluded,100,L,253,140,113,38,38,0,0,0.1962397124095202,0.7087550738324052,0.11391352396458387,0.02492117998190224,,,
