window_id,arm,repeat,common_poses,rpe_pairs,fixed_se3_ape_rmse_m,fixed_se3_rpe_rmse_m,sim3_scale,sim3_ape_rmse_m,sim3_rpe_rmse_m,fixed_evo_ape_abs_diff_m,fixed_evo_rpe_abs_diff_m,sim3_evo_ape_abs_diff_m,sim3_evo_rpe_abs_diff_m
afrl_fl_s180_d045,splg,3,43,42,0.2798458193175042,0.031534832833526955,1.1162116260589774,0.03176997304808397,0.017242647068252952,1.806824957983899e-07,1.6716647304598764e-07,2.6951916032302847e-08,3.5293174704964514e-07
afrl_fl_s180_d045,xfeat_seed,1,43,42,0.27876370757596086,0.031402398536467056,1.115733255457972,0.0312062622443386,0.017189341655357057,2.924240391499744e-07,3.9853646705695356e-07,2.622443385988382e-07,3.4165535705774075e-07
afrl_fl_s180_d045,xfeat_seed,2,43,42,0.2787606269061389,0.03141708403638056,1.1157306123142892,0.031229315546960602,0.017214951689982213,3.730938610835288e-07,8.40363805626465e-08,3.1554696060254184e-07,4.831001778823896e-08
afrl_fl_s180_d045,xfeat_seed,3,43,42,0.27873709110755296,0.031414390524932626,1.1157198809231939,0.031223370745462182,0.017212770435855132,9.110755294639006e-08,3.9052493262803356e-07,3.707454621811046e-07,2.2956414486713372e-07
h07_s000_d050,klt,1,48,47,1.3234818518744282,0.2571979071447823,0.7224009035565525,0.819356255240385,0.18571179912646196,1.4812557180832187e-07,9.285521768154226e-08,2.5524038504975977e-07,2.0087353799769225e-07
h07_s000_d050,klt,2,48,47,1.2296692243162102,0.21111151069018144,0.7396155232661914,0.7720410884687008,0.15371626186384763,2.2431621027330095e-07,4.893098185521083e-07,8.846870080958524e-08,2.618638476337143e-07
h07_s000_d050,klt,3,48,47,1.2211950574671535,0.21984797092151956,0.7405962317054463,0.7635228985938708,0.15847430385829867,5.746715348031728e-08,2.9078480429101106e-08,1.0140612916043068e-07,3.038582986614191e-07
h07_s000_d050,splg,1,48,47,1.6758945688342928,0.3679461643893175,0.6621499695530653,0.9929934613563136,0.2549173708085556,4.3116570713763736e-07,1.6438931749185315e-07,4.6135631359689455e-07,3.708085555831353e-07
h07_s000_d050,splg,2,48,47,1.3834191481530718,0.27495156800322346,0.7113635806014798,0.8467399622277563,0.19729442883830425,1.4815307181059723e-07,4.3199677651761803e-07,3.777224377721211e-08,4.2883830425610725e-07
h07_s000_d050,splg,3,48,47,1.2985946544684281,0.21982520778855014,0.726536550882574,0.8039919639099197,0.16040995269400427,3.455315717992846e-07,2.0778855014391695e-07,3.6090080368644806e-08,4.73059957317723e-08
h07_s000_d050,xfeat_seed,1,48,47,1.2588884715902662,0.21597710580901072,0.7344575322697914,0.7887238415600183,0.15723492660717447,4.715902661711624e-07,1.0580901071977067e-07,1.5843998169007278e-07,7.339282553919801e-08
h07_s000_d050,xfeat_seed,2,48,47,1.385984707534101,0.25010674336110894,0.7106887867704632,0.846186039267685,0.18130738911702082,2.92465899054406e-07,2.566388910829609e-07,3.926768499251665e-08,3.8911702082700117e-07
h07_s000_d050,xfeat_seed,3,48,47,1.3346982067197466,0.253944332286482,0.7198687901270537,0.8209839518372752,0.18234911730298453,2.067197466537607e-07,3.3228648199656874e-07,4.8162724808342716e-08,1.1730298452028443e-07
