run_dir,frames,xfeat_total,xfeat_frames,first_xfeat_frame,last_xfeat_frame,max_xfeat_per_frame,min_grid_on_xfeat_frames,first_xfeat_age,candidate_total,confirmed_total,pre_basic_total,geometry_on_xfeat_frames
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul16screen44_a06_0_400_probe,200,50,3,1,3,29,0.75,3.0,171,55,3384,normal:3
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul16screen45_a06_2800_3200_probe,200,50,5,135,139,12,0.7916666666666666,3.0,36,21,827,normal:5
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul16screen46_a01_12800_13200_probe,200,0,0,,,0,,,180,39,2383,
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul16screen47_a01_4400_4800_probe,200,50,8,145,152,7,0.75,4.0,3,0,277,degraded_texture:8
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul16screen48_a01_4800_5200_probe,200,50,4,148,151,14,0.7916666666666666,4.0,36,26,986,degraded_texture:4
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul16screen49_a01_13200_13600_probe,200,50,7,24,30,9,0.7916666666666666,4.0,0,0,306,normal:7
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul16screen9_a03_2000_2400_probe,200,23,9,1,9,4,0.75,3.0,8,4,229,degraded_texture:9
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul16screen9_a03_2400_2800_probe,200,50,5,61,65,12,0.7916666666666666,3.0,52,24,956,degraded_texture:5
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul16screen9_a03_4000_4400_probe,200,26,9,1,9,10,0.75,3.0,74,40,3130,degraded_texture:9
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul16screen9_a03_6000_6400_probe,167,29,9,2,10,9,0.7916666666666666,5.0,18,15,94,severe_low_texture:9
logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul16screen13_h01_1200_1600_probe,200,0,0,,,0,,,0,0,0,
logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul16screen13_h01_2400_2800_probe,200,0,0,,,0,,,2,1,0,
logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul16screen13_h01_3200_3600_probe,200,18,9,13,21,2,0.9583333333333334,4.0,10,4,212,degraded_texture:9
logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul16screen14_h04_1600_2000_probe,200,16,11,62,83,2,0.75,5.0,25,12,0,degraded_texture:1;normal:10
logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul16screen14_h04_800_1200_probe,200,17,9,188,196,2,0.8333333333333334,4.0,1,0,3,normal:9
logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul16screen15_h02_2000_2400_probe,200,0,0,,,0,,,0,0,0,
logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul16screen22_h02_1200_1600_probe,200,0,0,,,0,,,0,0,0,
logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul16screen22_h02_800_1200_probe,200,0,0,,,0,,,0,0,0,
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s0_d30_probe,151,14,3,143,145,5,1.0,4.0,45,9,26,degraded_texture:3
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s1020_d30_probe,150,0,0,,,0,,,0,0,0,
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s120_d30_probe,150,13,3,10,12,6,1.0,3.0,224,74,221,degraded_texture:3
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s150_d30_probe,150,0,0,,,0,,,0,0,0,
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s180_d30_probe,150,8,3,16,18,5,1.0,3.0,150,17,44,degraded_texture:2;normal:1
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s210_d30_probe,150,0,0,,,0,,,100,21,0,
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s240_d30_probe,150,0,0,,,0,,,45,0,0,
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s270_d30_probe,150,0,0,,,0,,,15,0,0,
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s300_d30_probe,150,7,3,136,138,3,1.0,3.0,129,4,11,degraded_texture:3
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s30_d30_probe,149,8,3,41,43,4,1.0,3.0,125,31,71,degraded_texture:3
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s330_d30_probe,150,0,0,,,0,,,5,0,0,
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s360_d30_probe,150,0,0,,,0,,,13,0,0,
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s390_d30_probe,150,6,3,125,127,2,1.0,5.0,57,4,22,degraded_texture:3
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s420_d30_probe,150,0,0,,,0,,,99,0,0,
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s480_d30_probe,149,16,3,19,21,6,1.0,3.0,60,13,85,degraded_texture:3
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s510_d30_probe,150,12,3,20,22,6,1.0,3.0,120,16,51,degraded_texture:2;normal:1
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s540_d30_probe,150,0,0,,,0,,,0,0,0,
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s60_d30_probe,150,4,3,114,116,2,1.0,3.0,117,27,76,degraded_texture:3
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s630_d30_probe,150,2,2,43,44,1,1.0,4.0,6,3,12,degraded_texture:2
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s660_d30_probe,150,5,1,135,135,5,1.0,3.0,38,12,95,degraded_texture:1
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s690_d30_probe,150,34,8,106,113,9,1.0,3.0,251,13,34,degraded_texture:8
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s720_d30_probe,150,0,0,,,0,,,16,0,0,
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s750_d30_probe,150,1,1,22,22,1,1.0,3.0,152,36,116,degraded_texture:1
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s780_d30_probe,150,0,0,,,0,,,0,0,0,
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s810_d30_probe,150,5,1,106,106,5,1.0,3.0,45,20,106,normal:1
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s90_d30_probe,150,1,1,15,15,1,1.0,10.0,269,52,131,degraded_texture:1
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s990_d30_probe,150,4,1,72,72,4,1.0,3.0,192,4,4,degraded_texture:1
logs/ntnu_vins/external_hybrid_xfeat_every2_jul15screen_ntnu_fjord4_s20_d10_probe,100,9,3,5,7,3,0.7916666666666666,4.0,15,12,278,normal:3
logs/ntnu_vins/external_hybrid_xfeat_every2_jul15screen_ntnu_fjord4_s90_d10_probe,100,0,0,,,0,,,65,37,275,
logs/ntnu_vins/external_hybrid_xfeat_every2_jul15screen_ntnu_mclab1_s90_d10_probe,100,0,0,,,0,,,18,3,84,
logs/ntnu_vins/external_hybrid_xfeat_every2_jul15screen_ntnu_mclab2_s120_d10_probe,100,0,0,,,0,,,77,27,547,
logs/ntnu_vins/external_hybrid_xfeat_every2_jul15screen_ntnu_mclab2_s160_d10_probe,100,0,0,,,0,,,80,25,255,
logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen16_ntnu_mclab1_s180_d10_probe,100,16,10,20,39,2,0.8333333333333334,5.0,36,6,15,degraded_texture:4;normal:6
logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen16_ntnu_mclab2_s280_d10_probe,100,23,9,17,51,4,0.8333333333333334,3.0,23,7,19,normal:9
logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen17_ntnu_fjord4_s260_d10_probe,100,19,9,48,56,3,0.8333333333333334,3.0,51,13,152,degraded_texture:9
logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen17_ntnu_fjord4_s280_d10_probe,100,11,7,93,99,2,0.8333333333333334,4.0,0,0,5,degraded_texture:7
logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen18_ntnu_fjord5_s220_d10_probe,100,16,15,48,62,2,0.75,4.0,16,11,34,degraded_texture:15
logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen18_ntnu_fjord5_s240_d10_probe,100,17,13,15,52,2,0.75,3.0,103,18,9,degraded_texture:11;normal:2
logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen19_ntnu_fjord3_s260_d10_probe,100,5,5,95,99,1,0.8333333333333334,4.0,10,0,4,degraded_texture:5
logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen20_ntnu_fjord1_s140_d10_probe,100,50,7,15,21,11,0.7916666666666666,4.0,79,36,110,normal:7
logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen20_ntnu_fjord1_s240_d10_probe,100,31,10,3,82,7,0.7916666666666666,3.0,41,12,69,degraded_texture:9;normal:1
logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen24_ntnu_fjord2_s500_d10_probe,100,18,9,4,12,2,0.75,3.0,116,39,347,degraded_texture:9
logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen24_ntnu_fjord2_s540_d10_probe,100,11,6,86,91,3,0.7916666666666666,3.0,23,5,6,degraded_texture:6
logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen24_ntnu_fjord2_s60_d10_probe,100,13,11,2,29,2,0.8333333333333334,3.0,18,2,17,degraded_texture:5;normal:6
logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen24_ntnu_fjord2_s70_d10_probe,100,17,12,7,29,2,0.75,4.0,36,9,52,degraded_texture:9;normal:3
logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen24_ntnu_fjord2_s90_d10_probe,100,24,9,23,31,4,0.8333333333333334,3.0,14,9,250,normal:9
logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen25_ntnu_fjord2_s260_d10_probe,100,5,3,24,26,2,0.7916666666666666,3.0,94,35,64,degraded_texture:3
logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen25_ntnu_fjord2_s280_d10_probe,100,0,0,,,0,,,57,22,99,
