timestamp,reference_valid,full_valid,drop_valid,klt_valid,common_valid,segment_id
1725640030.2289286,1,0,0,0,0,-1
1725640030.3289287,1,0,0,0,0,-1
1725640030.4289286,1,0,0,0,0,-1
1725640030.5289288,1,0,0,0,0,-1
1725640030.6289287,1,0,0,0,0,-1
1725640030.7289286,1,0,0,0,0,-1
1725640030.8289287,1,0,0,0,0,-1
1725640030.9289286,1,0,0,0,0,-1
1725640031.0289288,1,0,0,0,0,-1
1725640031.1289287,1,0,0,0,0,-1
1725640031.2289286,1,0,0,0,0,-1
1725640031.3289287,1,0,0,0,0,-1
1725640031.4289286,1,0,0,0,0,-1
1725640031.5289288,1,0,0,0,0,-1
1725640031.6289287,1,0,0,0,0,-1
1725640031.7289286,1,0,0,0,0,-1
1725640031.8289287,1,0,0,0,0,-1
1725640031.9289286,1,0,0,0,0,-1
1725640032.0289288,1,0,0,0,0,-1
1725640032.1289287,1,0,0,0,0,-1
1725640032.2289286,1,0,0,0,0,-1
1725640032.3289287,1,0,0,0,0,-1
1725640032.4289286,1,0,0,0,0,-1
1725640032.5289288,1,0,0,0,0,-1
1725640032.6289287,1,0,0,0,0,-1
1725640032.7289286,1,0,0,0,0,-1
1725640032.8289287,1,0,0,0,0,-1
1725640032.9289286,1,0,0,0,0,-1
1725640033.0289288,1,0,0,0,0,-1
1725640033.1289287,1,0,0,0,0,-1
1725640033.2289286,1,0,0,0,0,-1
1725640033.3289287,1,0,0,0,0,-1
1725640033.4289286,1,0,0,0,0,-1
1725640033.5289288,1,0,0,0,0,-1
1725640033.6289287,1,0,0,0,0,-1
1725640033.7289286,1,0,0,0,0,-1
1725640033.8289287,1,0,0,0,0,-1
1725640033.9289286,1,0,0,0,0,-1
1725640034.0289288,1,0,0,0,0,-1
1725640034.1289287,1,0,0,0,0,-1
1725640034.2289286,1,0,0,0,0,-1
1725640034.3289287,1,0,0,0,0,-1
1725640034.4289286,1,0,0,0,0,-1
1725640034.5289288,1,0,0,0,0,-1
1725640034.6289287,1,0,0,0,0,-1
1725640034.7289286,1,0,0,0,0,-1
1725640034.8289287,1,0,0,0,0,-1
1725640034.9289286,1,0,0,0,0,-1
1725640035.0289288,1,0,0,0,0,-1
1725640035.1289287,1,0,0,0,0,-1
1725640035.2289286,1,0,0,0,0,-1
1725640035.3289287,1,0,0,0,0,-1
1725640035.4289286,1,0,0,0,0,-1
1725640035.5289288,1,0,0,0,0,-1
1725640035.6289287,1,0,0,0,0,-1
1725640035.7289286,1,0,0,0,0,-1
1725640035.8289287,1,0,0,0,0,-1
1725640035.9289286,1,0,0,0,0,-1
1725640036.0289288,1,0,0,0,0,-1
1725640036.1289287,1,0,0,0,0,-1
1725640036.2289286,1,0,0,0,0,-1
1725640036.3289287,1,0,0,0,0,-1
1725640036.4289286,1,0,0,0,0,-1
1725640036.5289288,1,0,0,0,0,-1
