family,run_dir,feature_frames,xfeat_observations,xfeat_active_frames,xfeat_first_frame,xfeat_last_frame,xfeat_max_per_frame
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul02_xfeat_arbitrated_ntnu_fjord_1_s85_d10_probe_oldcontract_densecap,100,14,3,2,4,6
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul03_guarded_earlyseed_ntnu_fjord1_s80_d10_probe_oldcontract_densecap,100,14,3,1,3,6
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul03_guarded_earlyseed_ntnu_fjord1_s85_d10_probe_oldcontract_densecap,100,14,3,2,4,6
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul07_nonoverlap_onlineprobe3_ntnu_mclab1_s40_d10,100,14,3,46,48,9
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul07_nonoverlap_scan_fjord_3_s140_d10_probe_oldcontract_densecap,100,14,3,4,6,5
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul08_gatefix_probe_ntnu_fjord5_s80_d10,100,14,3,27,29,5
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul09_bandmotion_probe_ntnu_fjord1_s85_d10,100,14,3,2,4,6
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul09_normmotion3_probe_ntnu_fjord1_s85_d10,100,14,3,2,4,6
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul09_normmotion_probe_ntnu_fjord1_s85_d10,100,14,3,2,4,6
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul09_startgftt_probe_ntnu_fjord1_s85_d10,100,14,3,2,4,6
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul08_nonoverlap_onlineprobe1_cirs_s120_d30,150,13,3,10,12,6
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul13_arbvg_cirs_s120_d30_probe_oldcontract_densecap,150,13,3,10,12,6
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s120_d30_probe,150,13,3,10,12,6
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul03_guarded_scan_ntnu_fjord5_s68_d10_probe_oldcontract_densecap,100,13,3,4,6,6
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul07_nonoverlap_scan_fjord_4_s45_d10_probe_oldcontract_densecap,100,13,3,1,3,5
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul08_nonoverlap_onlineprobe1_ntnu_mclab1_s140_d10,100,13,3,70,72,5
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul08_probe_more3_ntnu_fjord_5_s110_d10,100,13,3,3,5,7
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen24_ntnu_fjord2_s60_d10_probe,100,13,11,2,29,2
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen28_ntnu_fjord2_s490_d10_probe,100,13,3,6,8,5
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen34_ntnu_fjord2_s410_d10_probe,100,13,3,15,17,5
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul07_nonoverlap_onlineprobe5_cirs_s450_d30,150,12,3,31,33,4
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul07_nonoverlap_onlineprobe5_cirs_s510_d30,150,12,3,20,22,6
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul07_nonoverlap_onlineprobe5_cirs_s870_d30,150,12,3,4,6,6
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul07_nonoverlap_onlineprobe_cirs_s960_d30,150,12,3,4,6,6
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul14_frozenneg_cirs_s450_d30_probe_oldcontract_densecap,150,12,3,31,33,4
