case_id,cohort,official_fresh_20,independent_cluster,dataset_family,sequence,window,arm,run_dir,ape_rmse_m,rpe_rmse_m,ape_valid,rpe_valid,common_grid_count,common_matched_count,common_span_s,common_coverage,common_rpe_pairs,threshold_divergence,both_metrics_invalid,divergent_or_invalid,solver_risk,learned_track_ids,g0_summary,metric_contract
mclab2_s110_d10,secondary,1,NTNU_mclab2_s110,ntnu,mclab2,mclab2_s110_d10,drop,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_hybrid_xfeat_every2_jul14frozen3way_mclab2_s110_d10_drop_lineage,0.03333139014782381,0.022612384919839273,0,1,3048,68,6.799999952316284,0.02230971128608924,48,0,0,0,1,20,papers/e3_g0_common_support/mclab2_s110_d10/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
mclab2_s110_d10,secondary,1,NTNU_mclab2_s110,ntnu,mclab2,mclab2_s110_d10,klt,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_klt_every2_jul14frozen3way_mclab2_s110_d10_klt,0.024307380265140146,0.018356448689550477,0,1,3048,68,6.799999952316284,0.02230971128608924,48,0,0,0,1,20,papers/e3_g0_common_support/mclab2_s110_d10/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
h02_2400_2800,stress,1,AQUALOC_H02_2400,aqualoc_real,H02,H02_2400-2800,full,/home/ma/AQUA-FE_WS/logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul14frozen3way_h02_2400_2800_full_idle_r2,0.21653930439495928,0.10117504589072539,1,1,41,35,17.0,0.8536585365853658,33,0,0,0,1,0,papers/e3_g0_common_support/h02_2400_2800/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
h02_2400_2800,stress,1,AQUALOC_H02_2400,aqualoc_real,H02,H02_2400-2800,drop,/home/ma/AQUA-FE_WS/logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul14frozen3way_h02_2400_2800_drop_lineage,0.21051137516649235,0.10083826595740437,1,1,41,35,17.0,0.8536585365853658,33,0,0,0,1,0,papers/e3_g0_common_support/h02_2400_2800/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
h02_2400_2800,stress,1,AQUALOC_H02_2400,aqualoc_real,H02,H02_2400-2800,klt,/home/ma/AQUA-FE_WS/logs/aqualoc_real_vins/external_klt_every2_jul14frozen3way_h02_2400_2800_klt,0.21654010473858118,0.10117369386024747,1,1,41,35,17.0,0.8536585365853658,33,0,0,0,1,0,papers/e3_g0_common_support/h02_2400_2800/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
a09_4000_4400,stress,1,AQUALOC_A09_4000,aqualoc_archaeo,A09,A09_4000-4400,full,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_jul14frozen3way_a09_4000_4400_full,1.0520457145556796,0.24765975484310623,0,1,20,16,15.0,0.8,15,0,0,0,0,0,papers/e3_g0_common_support/a09_4000_4400/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
a09_4000_4400,stress,1,AQUALOC_A09_4000,aqualoc_archaeo,A09,A09_4000-4400,drop,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul14frozen3way_a09_4000_4400_drop_lineage,1.0520636130380632,0.24766327356431211,0,1,20,16,15.0,0.8,15,0,0,0,0,0,papers/e3_g0_common_support/a09_4000_4400/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
a09_4000_4400,stress,1,AQUALOC_A09_4000,aqualoc_archaeo,A09,A09_4000-4400,klt,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_jul14frozen3way_a09_4000_4400_klt,1.0520633670995438,0.24766341891846597,0,1,20,16,15.0,0.8,15,0,0,0,0,0,papers/e3_g0_common_support/a09_4000_4400/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
a02_8600_9000,stress,1,AQUALOC_A02_8600,aqualoc_archaeo,A02,A02_8600-9000,full,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_jul14frozen3way_a02_8600_9000_full_idle_r1,0.07168664262846965,0.023996333472980677,0,1,19,13,12.0,0.6842105263157895,12,0,0,0,1,0,papers/e3_g0_common_support/a02_8600_9000/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
a02_8600_9000,stress,1,AQUALOC_A02_8600,aqualoc_archaeo,A02,A02_8600-9000,drop,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_jul14frozen3way_a02_8600_9000_drop_idle_r1,0.07168692256045983,0.02399679559206966,0,1,19,13,12.0,0.6842105263157895,12,0,0,0,1,0,papers/e3_g0_common_support/a02_8600_9000/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
